"","season","scenario","model","ppt.past","ppt.present","ppt.future","change"
"1","fall2spr","rcp26","bcc-csm1-1",180.254941176471,196.476886666667,178.633,-0.00899804003088435
"4","summer","rcp26","bcc-csm1-1",68.3644183006536,63.2966133333333,66.8763333333333,-0.0217669513514464
"7","fall2spr","rcp45","bcc-csm1-1",180.254941176471,191.325073333333,198.462784722222,0.101011619581213
"10","summer","rcp45","bcc-csm1-1",68.3644183006536,64.9397333333333,56.6502777777778,-0.171348499907646
"13","fall2spr","rcp60","bcc-csm1-1",180.254941176471,199.556933333333,191.570166666667,0.0627734552869672
"16","summer","rcp60","bcc-csm1-1",68.3644183006536,69.1919733333333,63.9796111111111,-0.0641387332553456
"19","fall2spr","rcp85","bcc-csm1-1",180.254941176471,191.99908,180.507979166667,0.00140377838490625
"22","summer","rcp85","bcc-csm1-1",68.3644183006536,77.57072,63.9559722222222,-0.0644845109197576
"25","fall2spr","rcp26","ccsm4",181.142815686275,190.812682666667,193.230411111111,0.0667296430114646
"28","summer","rcp26","ccsm4",67.8345464052288,65.8036746666667,70.0728222222222,0.0329961050173829
"31","fall2spr","rcp45","ccsm4",181.142815686275,190.108949333333,195.518176388889,0.0793592649432557
"34","summer","rcp45","ccsm4",67.8345464052288,67.9954826666667,68.1012111111111,0.00393110472486028
"37","fall2spr","rcp60","ccsm4",181.142815686275,190.462150666667,195.040047222222,0.0767197500121488
"40","summer","rcp60","ccsm4",67.8345464052288,64.3979146666667,69.2135166666667,0.0203284363869736
"43","fall2spr","rcp85","ccsm4",181.142815686275,190.874926666667,200.496002777778,0.106839385366635
"46","summer","rcp85","ccsm4",67.8345464052288,68.7610453333333,65.7978888888889,-0.0300238982092299
"49","fall2spr","rcp26","cesm1-cam5",180.588211328976,201.393515555556,215.668104166667,0.194253504032918
"52","summer","rcp26","cesm1-cam5",68.3303442265795,78.1750577777778,83.0753611111111,0.215790174210713
"55","fall2spr","rcp45","cesm1-cam5",180.588211328976,197.320153333333,212.468990740741,0.176538541343033
"58","summer","rcp45","cesm1-cam5",68.3303442265795,72.8083911111111,79.5252685185185,0.163835327022754
"61","fall2spr","rcp60","cesm1-cam5",180.598421568627,193.22849,228.222944444444,0.263703981807613
"64","summer","rcp60","cesm1-cam5",68.0436209150327,70.4759866666667,77.6243611111111,0.140802915353992
"67","fall2spr","rcp85","cesm1-cam5",180.588211328976,200.77512,220.873641203704,0.223078957248987
"70","summer","rcp85","cesm1-cam5",68.3303442265795,70.8853866666667,78.2937037037037,0.145811638883104
"73","fall2spr","rcp26","csiro-mk3-6-0",181.647062745098,179.652685333333,194.177759027778,0.068983753952927
"76","summer","rcp26","csiro-mk3-6-0",68.2377830065359,66.6727066666667,69.2098111111111,0.0142447198860792
"79","fall2spr","rcp45","csiro-mk3-6-0",181.647062745098,178.040104666667,187.2131625,0.030642387885527
"82","summer","rcp45","csiro-mk3-6-0",68.2377830065359,66.7598613333333,72.9009277777778,0.0683366980254207
"85","fall2spr","rcp60","csiro-mk3-6-0",181.647062745098,182.023174666667,185.508429166667,0.0212575219396044
"88","summer","rcp60","csiro-mk3-6-0",68.2377830065359,66.3010266666667,72.1605833333333,0.0574872182823063
"91","fall2spr","rcp85","csiro-mk3-6-0",181.647062745098,177.574548666667,179.704904166667,-0.0106919349483607
"94","summer","rcp85","csiro-mk3-6-0",68.2377830065359,67.1639253333333,78.9138305555556,0.156453610868293
"97","fall2spr","rcp26","fio-esm",180.577307189542,172.524068888889,168.92675462963,-0.0645183646895558
"100","summer","rcp26","fio-esm",68.0210718954248,74.2658755555556,84.8727685185185,0.247742297401625
"103","fall2spr","rcp45","fio-esm",180.577307189542,173.554593333333,171.405030092593,-0.0507941847162571
"106","summer","rcp45","fio-esm",68.0210718954248,75.2529333333333,88.0080092592593,0.2938344957951
"109","fall2spr","rcp60","fio-esm",180.577307189542,171.509115555556,163.761662037037,-0.0931215855093851
"112","summer","rcp60","fio-esm",68.0210718954248,80.5390488888889,84.6653425925926,0.244692861099816
"115","fall2spr","rcp85","fio-esm",180.577307189542,174.176022222222,159.784625,-0.115145598930199
"118","summer","rcp85","fio-esm",68.0210718954248,74.2452266666667,96.6858240740741,0.421409886376361
"121","fall2spr","rcp26","gfdl-cm3",181.366568627451,211.20736,212.488159722222,0.171594971059406
"124","summer","rcp26","gfdl-cm3",68.7324183006536,76.3477333333333,73.4798888888889,0.0690717816368487
"127","fall2spr","rcp45","gfdl-cm3",181.366568627451,213.3222,223.595215277778,0.232835891255513
"130","summer","rcp45","gfdl-cm3",68.7324183006536,77.62224,94.3549444444444,0.372786623507283
"133","fall2spr","rcp60","gfdl-cm3",181.366568627451,190.526093333333,226.329638888889,0.24791266991326
"136","summer","rcp60","gfdl-cm3",68.7324183006536,69.552,92.9762222222222,0.352727352259306
"139","fall2spr","rcp85","gfdl-cm3",181.366568627451,193.516353333333,233.881375,0.289550641940086
"142","summer","rcp85","gfdl-cm3",68.7324183006536,74.2464533333333,114.061472222222,0.659500349940947
"145","fall2spr","rcp26","gfdl-esm2g",181.313633986928,192.456506666667,196.865861111111,0.0857752766970865
"148","summer","rcp26","gfdl-esm2g",68.299477124183,84.8154133333333,82.2396944444444,0.204104305145926
"151","fall2spr","rcp45","gfdl-esm2g",181.313633986928,195.172553333333,226.184923611111,0.24747884997671
"154","summer","rcp45","gfdl-esm2g",68.299477124183,80.5171733333333,94.0329444444444,0.376774001848835
"157","fall2spr","rcp60","gfdl-esm2g",181.313633986928,203.99834,217.755416666667,0.200987547811026
"160","summer","rcp60","gfdl-esm2g",68.299477124183,81.7628533333333,85.5178333333333,0.252100849584012
"163","fall2spr","rcp85","gfdl-esm2g",181.313633986928,214.981433333333,236.752930555556,0.305764631978114
"166","summer","rcp85","gfdl-esm2g",68.299477124183,81.4482133333333,95.0941388888889,0.392311374741383
"169","fall2spr","rcp26","gfdl-esm2m",179.44545751634,201.93992,206.347555555556,0.149917966225286
"172","summer","rcp26","gfdl-esm2m",67.9441045751634,63.3487466666667,71.1249444444444,0.0468155388781703
"175","fall2spr","rcp45","gfdl-esm2m",179.44545751634,202.268733333333,204.587590277778,0.140110165559073
"178","summer","rcp45","gfdl-esm2m",67.9441045751634,63.82224,70.9435,0.0441450430996335
"181","fall2spr","rcp60","gfdl-esm2m",179.44545751634,194.695713333333,202.536298611111,0.128678883346315
"184","summer","rcp60","gfdl-esm2m",67.9441045751634,65.8394933333333,65.4841944444444,-0.0362049091102184
"187","fall2spr","rcp85","gfdl-esm2m",179.44545751634,199.5903,228.845409722222,0.275292297111417
"190","summer","rcp85","gfdl-esm2m",67.9441045751634,59.9012,66.53325,-0.0207649299962832
"193","fall2spr","rcp26","giss-e2-r",181.572359477124,176.29612,194.336819444444,0.0702995764557898
"196","summer","rcp26","giss-e2-r",67.7919738562092,70.2720533333333,72.197,0.064978579221401
"199","fall2spr","rcp45","giss-e2-r",181.069183006536,198.727256,197.566813888889,0.0911123064036659
"202","summer","rcp45","giss-e2-r",68.4435503267974,67.8528213333333,61.5243611111111,-0.101093370853049
"205","fall2spr","rcp60","giss-e2-r",181.572359477124,195.396413333333,210.1815625,0.157563646279985
"208","summer","rcp60","giss-e2-r",67.7919738562092,66.8349333333333,60.2478611111111,-0.111283273165929
"211","fall2spr","rcp85","giss-e2-r",181.572359477124,197.409333333333,197.135701388889,0.0857142681660502
"214","summer","rcp85","giss-e2-r",67.7919738562092,71.0914666666667,62.9363055555556,-0.0716260056235088
"217","fall2spr","rcp26","hadgem2-ao",182.072562091503,179.51206,175.547215277778,-0.0358392650642553
"220","summer","rcp26","hadgem2-ao",68.4377777777778,67.77456,65.6285833333333,-0.0410474234503363
"223","fall2spr","rcp45","hadgem2-ao",182.072562091503,163.8455,181.584180555556,-0.00268234560077346
"226","summer","rcp45","hadgem2-ao",68.4377777777778,53.49616,47.15,-0.311053024645258
"229","fall2spr","rcp60","hadgem2-ao",182.072562091503,187.479413333333,191.467791666667,0.0516015673489656
"232","summer","rcp60","hadgem2-ao",68.4377777777778,61.6577866666667,53.8116944444444,-0.21371359223301
"235","fall2spr","rcp85","hadgem2-ao",182.072562091503,177.908033333333,183.367527777778,0.00711236043146212
"238","summer","rcp85","hadgem2-ao",68.4377777777778,56.5996266666667,46.1801666666667,-0.325224047796863
"241","fall2spr","rcp26","hadgem2-es",181.349617647059,177.802928333333,192.328342013889,0.0605389992505899
"244","summer","rcp26","hadgem2-es",68.6279411764706,66.5443666666667,66.6036875,-0.0294960571710203
"247","fall2spr","rcp45","hadgem2-es",181.349617647059,181.844238333333,187.896673611111,0.0361018459757335
"250","summer","rcp45","hadgem2-es",68.6279411764706,66.18802,67.0485138888889,-0.0230143475165653
"253","fall2spr","rcp60","hadgem2-es",181.349617647059,181.792671666667,194.785657986111,0.0740891572498453
"256","summer","rcp60","hadgem2-es",68.6279411764706,68.3448066666667,63.9455902777778,-0.0682280543234214
"259","fall2spr","rcp85","hadgem2-es",181.349617647059,194.409215,191.825472222222,0.0577660692704157
"262","summer","rcp85","hadgem2-es",68.6279411764706,64.0004133333333,60.0648194444444,-0.124776025409342
"265","fall2spr","rcp26","ipsl-cm5a-lr",181.918516339869,192.737191111111,206.310902777778,0.134084132438379
"268","summer","rcp26","ipsl-cm5a-lr",68.323128540305,69.78936,82.7904166666667,0.21174803372517
"271","fall2spr","rcp45","ipsl-cm5a-lr",181.71079248366,192.486385,187.511661458333,0.031923634779122
"274","summer","rcp45","ipsl-cm5a-lr",68.1644836601307,69.8917866666667,81.9876527777778,0.202791371333048
"277","fall2spr","rcp60","ipsl-cm5a-lr",181.667522875817,192.880566666667,191.715513888889,0.0553097815944812
"280","summer","rcp60","ipsl-cm5a-lr",68.7426405228758,69.92736,82.1496111111111,0.195031358793583
"283","fall2spr","rcp85","ipsl-cm5a-lr",181.71079248366,189.699358333333,188.976666666667,0.0399859253470588
"286","summer","rcp85","ipsl-cm5a-lr",68.1644836601307,67.5111333333333,76.6284930555556,0.124170373498705
"289","fall2spr","rcp26","ipsl-cm5a-mr",182.170104575163,195.39156,187.221756944444,0.0277304137309573
"292","summer","rcp26","ipsl-cm5a-mr",70.1082091503268,73.3246133333333,73.0511944444444,0.0419777559544741
"295","fall2spr","rcp45","ipsl-cm5a-mr",182.170104575163,189.837526666667,174.305444444444,-0.043172067936504
"298","summer","rcp45","ipsl-cm5a-mr",70.1082091503268,81.4469866666667,74.3756111111111,0.0608687914368787
"301","fall2spr","rcp60","ipsl-cm5a-mr",182.170104575163,180.098706666667,178.099638888889,-0.0223443121788134
"304","summer","rcp60","ipsl-cm5a-mr",70.1082091503268,73.5086133333333,64.6504444444444,-0.0778477267074353
"307","fall2spr","rcp85","ipsl-cm5a-mr",182.170104575163,180.109626666667,179.232715277778,-0.0161244310872845
"310","summer","rcp85","ipsl-cm5a-mr",70.1082091503268,78.1380533333333,62.8583611111111,-0.103409402794336
"313","fall2spr","rcp26","miroc-esm",180.163346405229,222.419773333333,247.506729166667,0.373790696637967
"316","summer","rcp26","miroc-esm",68.3006797385621,52.2970933333333,63.1790833333333,-0.0749860239287948
"319","fall2spr","rcp45","miroc-esm",180.163346405229,242.268693333333,245.336,0.361742024086203
"322","summer","rcp45","miroc-esm",68.3006797385621,59.2467733333333,56.7339722222222,-0.169349815559879
"325","fall2spr","rcp60","miroc-esm",180.163346405229,216.68192,254.811375,0.414335268989013
"328","summer","rcp60","miroc-esm",68.3006797385621,59.41176,62.7586944444444,-0.0811409976493789
"331","fall2spr","rcp85","miroc-esm",180.163346405229,230.207553333333,252.108548611111,0.399333180923833
"334","summer","rcp85","miroc-esm",68.3006797385621,60.3470933333333,63.73875,-0.0667918643858892
"337","fall2spr","rcp26","miroc-esm-chem",181.666333333333,224.1785,247.0251875,0.359774169310403
"340","summer","rcp26","miroc-esm-chem",67.8653333333333,62.8096266666667,61.1998055555556,-0.0982169754481097
"343","fall2spr","rcp45","miroc-esm-chem",181.666333333333,213.91734,247.303243055556,0.361304753158569
"346","summer","rcp45","miroc-esm-chem",67.8653333333333,60.69056,62.9867777777778,-0.0718858261786414
"349","fall2spr","rcp60","miroc-esm-chem",181.666333333333,218.640846666667,253.540534722222,0.395638531752658
"352","summer","rcp60","miroc-esm-chem",67.8653333333333,63.6958933333333,57.4335555555556,-0.153712908570568
"355","fall2spr","rcp85","miroc-esm-chem",181.666333333333,223.113193333333,239.486090277778,0.318274475427172
"358","summer","rcp85","miroc-esm-chem",67.8653333333333,61.4609066666667,48.9261111111111,-0.279070643169152
"361","fall2spr","rcp26","miroc5",180.740869281046,211.848606666667,218.911243055556,0.211188393230289
"364","summer","rcp26","miroc5",68.4762614379085,77.0769866666667,90.7771666666667,0.325673521896048
"367","fall2spr","rcp45","miroc5",180.740869281046,188.91054,193.040069444444,0.0680488049677014
"370","summer","rcp45","miroc5",68.4762614379085,85.29136,82.9999722222222,0.212098477331203
"373","fall2spr","rcp60","miroc5",180.740869281046,197.099933333333,211.472625,0.170032134077918
"376","summer","rcp60","miroc5",68.4762614379085,71.8035466666667,92.1597222222222,0.345863811589494
"379","fall2spr","rcp85","miroc5",180.740869281046,206.831473333333,218.913138888889,0.211198882464633
"382","summer","rcp85","miroc5",68.4762614379085,78.6477333333333,99.8998611111111,0.458897711606179
"385","fall2spr","rcp26","noresm1-m",180.643326797386,192.358833333333,209.227958333333,0.158237960088108
"388","summer","rcp26","noresm1-m",67.7216209150327,67.24096,68.84475,0.0165844979755649
"391","fall2spr","rcp45","noresm1-m",180.643326797386,195.2132,222.378722222222,0.231037570912587
"394","summer","rcp45","noresm1-m",67.7216209150327,70.4364266666667,80.247,0.184953917459867
"397","fall2spr","rcp60","noresm1-m",180.643326797386,186.091966666667,209.093354166667,0.15749282231273
"400","summer","rcp60","noresm1-m",67.7216209150327,66.2185333333333,77.8403055555556,0.149415866067623
"403","fall2spr","rcp85","noresm1-m",180.643326797386,189.458966666667,206.686277777778,0.144167799841301
"406","summer","rcp85","noresm1-m",67.7216209150327,72.9811466666667,87.7347777777778,0.295520936922859
"409","fall2spr","rcp26","noresm1-me",180.730163398693,209.787153333333,209.890868055556,0.161349406808945
"412","summer","rcp26","noresm1-me",68.5225620915033,68.82888,74.6375555555556,0.0892405840850853
"415","fall2spr","rcp45","noresm1-me",180.730163398693,185.171653333333,205.447666666667,0.136764681684301
"418","summer","rcp45","noresm1-me",68.5225620915033,73.53928,84.1148333333333,0.227549448910106
"421","fall2spr","rcp60","noresm1-me",180.730163398693,180.350473333333,187.861916666667,0.0394607802807166
"424","summer","rcp60","noresm1-me",68.5225620915033,72.08936,79.9071111111111,0.166143072764927
"427","fall2spr","rcp85","noresm1-me",180.730163398693,200.6823,199.659055555556,0.104735655636549
"430","summer","rcp85","noresm1-me",68.5225620915033,70.5548,86.4269722222222,0.261292187335463
